Event;Date;Place;Fighter;KD;STR;TD;SUB;WEIGHT.CLASS;METHOD;ROUND;TIME;RESULT
UFC Fight Night: Bautista vs. Oliveira;"Date:
      
      February 07, 2026";"Location:
      

      Las Vegas, Nevada, USA";Mario Bautista;0;15;5;1;Bantamweight;"SUB

      

        Rear Naked Choke";2;4:46;win
UFC Fight Night: Bautista vs. Oliveira;"Date:
      
      February 07, 2026";"Location:
      

      Las Vegas, Nevada, USA";Vinicius Oliveira;0;12;0;0;Bantamweight;"SUB

      

        Rear Naked Choke";2;4:46;lose
UFC Fight Night: Bautista vs. Oliveira;"Date:
      
      February 07, 2026";"Location:
      

      Las Vegas, Nevada, USA";Kyoji Horiguchi;0;73;0;0;Flyweight;U-DEC;3;5:00;win
UFC Fight Night: Bautista vs. Oliveira;"Date:
      
      February 07, 2026";"Location:
      

      Las Vegas, Nevada, USA";Amir Albazi;0;16;0;0;Flyweight;U-DEC;3;5:00;lose
UFC Fight Night: Bautista vs. Oliveira;"Date:
      
      February 07, 2026";"Location:
      

      Las Vegas, Nevada, USA";Rizvan Kuniev;0;43;0;0;Heavyweight;U-DEC;3;5:00;win
UFC Fight Night: Bautista vs. Oliveira;"Date:
      
      February 07, 2026";"Location:
      

      Las Vegas, Nevada, USA";Jailton Almeida;0;31;0;0;Heavyweight;U-DEC;3;5:00;lose
UFC Fight Night: Bautista vs. Oliveira;"Date:
      
      February 07, 2026";"Location:
      

      Las Vegas, Nevada, USA";Michal Oleksiejczuk;0;140;1;0;Middleweight;U-DEC;3;5:00;win
UFC Fight Night: Bautista vs. Oliveira;"Date:
      
      February 07, 2026";"Location:
      

      Las Vegas, Nevada, USA";Marc-Andre Barriault;0;77;0;0;Middleweight;U-DEC;3;5:00;lose
UFC Fight Night: Bautista vs. Oliveira;"Date:
      
      February 07, 2026";"Location:
      

      Las Vegas, Nevada, USA";Farid Basharat;0;80;2;0;Bantamweight;S-DEC;3;5:00;win
UFC Fight Night: Bautista vs. Oliveira;"Date:
      
      February 07, 2026";"Location:
      

      Las Vegas, Nevada, USA";Jean Matsumoto;0;76;7;0;Bantamweight;S-DEC;3;5:00;lose
UFC Fight Night: Bautista vs. Oliveira;"Date:
      
      February 07, 2026";"Location:
      

      Las Vegas, Nevada, USA";Dustin Jacoby;1;42;0;0;Light Heavyweight;"KO/TKO

      

        Punches";2;1:42;win
UFC Fight Night: Bautista vs. Oliveira;"Date:
      
      February 07, 2026";"Location:
      

      Las Vegas, Nevada, USA";Julius Walker;0;7;3;0;Light Heavyweight;"KO/TKO

      

        Punches";2;1:42;lose
UFC Fight Night: Bautista vs. Oliveira;"Date:
      
      February 07, 2026";"Location:
      

      Las Vegas, Nevada, USA";Daniil Donchenko;1;100;0;0;Welterweight;U-DEC;3;5:00;win
UFC Fight Night: Bautista vs. Oliveira;"Date:
      
      February 07, 2026";"Location:
      

      Las Vegas, Nevada, USA";Alex Morono;0;40;0;0;Welterweight;U-DEC;3;5:00;lose
UFC Fight Night: Bautista vs. Oliveira;"Date:
      
      February 07, 2026";"Location:
      

      Las Vegas, Nevada, USA";Nikolay Veretennikov;0;19;0;0;Welterweight;"KO/TKO

      

        Punches";1;1:42;win
UFC Fight Night: Bautista vs. Oliveira;"Date:
      
      February 07, 2026";"Location:
      

      Las Vegas, Nevada, USA";Niko Price;0;9;0;0;Welterweight;"KO/TKO

      

        Punches";1;1:42;lose
UFC Fight Night: Bautista vs. Oliveira;"Date:
      
      February 07, 2026";"Location:
      

      Las Vegas, Nevada, USA";Ketlen Souza;0;33;1;0;Women's Strawweight;U-DEC;3;5:00;win
UFC Fight Night: Bautista vs. Oliveira;"Date:
      
      February 07, 2026";"Location:
      

      Las Vegas, Nevada, USA";Bruna Brasil;0;31;1;0;Women's Strawweight;U-DEC;3;5:00;lose
UFC Fight Night: Bautista vs. Oliveira;"Date:
      
      February 07, 2026";"Location:
      

      Las Vegas, Nevada, USA";Javid Basharat;1;59;3;0;Bantamweight;U-DEC;3;5:00;win
UFC Fight Night: Bautista vs. Oliveira;"Date:
      
      February 07, 2026";"Location:
      

      Las Vegas, Nevada, USA";Gianni Vazquez;0;24;0;2;Bantamweight;U-DEC;3;5:00;lose
UFC Fight Night: Bautista vs. Oliveira;"Date:
      
      February 07, 2026";"Location:
      

      Las Vegas, Nevada, USA";Wang Cong;1;39;0;1;Catch Weight;U-DEC;3;5:00;win
UFC Fight Night: Bautista vs. Oliveira;"Date:
      
      February 07, 2026";"Location:
      

      Las Vegas, Nevada, USA";Eduarda Moura;0;12;3;1;Catch Weight;U-DEC;3;5:00;lose
UFC Fight Night: Bautista vs. Oliveira;"Date:
      
      February 07, 2026";"Location:
      

      Las Vegas, Nevada, USA";Jakub Wiklacz;0;56;0;2;Bantamweight;"SUB

      

        Guillotine Choke";3;4:59;win
UFC Fight Night: Bautista vs. Oliveira;"Date:
      
      February 07, 2026";"Location:
      

      Las Vegas, Nevada, USA";Muin Gafurov;0;79;2;0;Bantamweight;"SUB

      

        Guillotine Choke";3;4:59;lose
UFC Fight Night: Bautista vs. Oliveira;"Date:
      
      February 07, 2026";"Location:
      

      Las Vegas, Nevada, USA";Klaudia Sygula;0;151;0;0;Women's Bantamweight;U-DEC;3;5:00;win
UFC Fight Night: Bautista vs. Oliveira;"Date:
      
      February 07, 2026";"Location:
      

      Las Vegas, Nevada, USA";Priscila Cachoeira;0;99;1;0;Women's Bantamweight;U-DEC;3;5:00;lose
UFC 325: Volkanovski vs. Lopes 2;"Date:
      
      January 31, 2026";"Location:
      

      Sydney, New South Wales, Australia";Alexander Volkanovski;0;98;2;1;Featherweight;U-DEC;5;5:00;win
UFC 325: Volkanovski vs. Lopes 2;"Date:
      
      January 31, 2026";"Location:
      

      Sydney, New South Wales, Australia";Diego Lopes;0;70;2;0;Featherweight;U-DEC;5;5:00;lose
UFC 325: Volkanovski vs. Lopes 2;"Date:
      
      January 31, 2026";"Location:
      

      Sydney, New South Wales, Australia";Benoit Saint Denis;0;97;2;2;Lightweight;"KO/TKO

      

        Punches";2;4:45;win
UFC 325: Volkanovski vs. Lopes 2;"Date:
      
      January 31, 2026";"Location:
      

      Sydney, New South Wales, Australia";Dan Hooker;0;30;0;2;Lightweight;"KO/TKO

      

        Punches";2;4:45;lose
UFC 325: Volkanovski vs. Lopes 2;"Date:
      
      January 31, 2026";"Location:
      

      Sydney, New South Wales, Australia";Mauricio Ruffy;1;55;0;0;Lightweight;"KO/TKO

      

        Punches";2;4:30;win
UFC 325: Volkanovski vs. Lopes 2;"Date:
      
      January 31, 2026";"Location:
      

      Sydney, New South Wales, Australia";Rafael Fiziev;0;36;0;0;Lightweight;"KO/TKO

      

        Punches";2;4:30;lose
UFC 325: Volkanovski vs. Lopes 2;"Date:
      
      January 31, 2026";"Location:
      

      Sydney, New South Wales, Australia";Tallison Teixeira;0;51;3;0;Heavyweight;U-DEC;3;5:00;win
UFC 325: Volkanovski vs. Lopes 2;"Date:
      
      January 31, 2026";"Location:
      

      Sydney, New South Wales, Australia";Tai Tuivasa;0;42;0;0;Heavyweight;U-DEC;3;5:00;lose
UFC 325: Volkanovski vs. Lopes 2;"Date:
      
      January 31, 2026";"Location:
      

      Sydney, New South Wales, Australia";Quillan Salkilld;0;5;2;1;Lightweight;"SUB

      

        Neck Crank";1;3:02;win
UFC 325: Volkanovski vs. Lopes 2;"Date:
      
      January 31, 2026";"Location:
      

      Sydney, New South Wales, Australia";Jamie Mullarkey;0;1;1;0;Lightweight;"SUB

      

        Neck Crank";1;3:02;lose
UFC 325: Volkanovski vs. Lopes 2;"Date:
      
      January 31, 2026";"Location:
      

      Sydney, New South Wales, Australia";Billy Elekana;0;24;1;1;Light Heavyweight;"SUB

      

        Rear Naked Choke";2;3:18;win
UFC 325: Volkanovski vs. Lopes 2;"Date:
      
      January 31, 2026";"Location:
      

      Sydney, New South Wales, Australia";Junior Tafa;1;38;0;0;Light Heavyweight;"SUB

      

        Rear Naked Choke";2;3:18;lose
UFC 325: Volkanovski vs. Lopes 2;"Date:
      
      January 31, 2026";"Location:
      

      Sydney, New South Wales, Australia";Cam Rowston;0;57;0;0;Middleweight;"KO/TKO

      

        Punches";2;4:08;win
UFC 325: Volkanovski vs. Lopes 2;"Date:
      
      January 31, 2026";"Location:
      

      Sydney, New South Wales, Australia";Cody Brundage;0;29;0;0;Middleweight;"KO/TKO

      

        Punches";2;4:08;lose
UFC 325: Volkanovski vs. Lopes 2;"Date:
      
      January 31, 2026";"Location:
      

      Sydney, New South Wales, Australia";Jacob Malkoun;1;117;2;3;Middleweight;U-DEC;3;5:00;win
UFC 325: Volkanovski vs. Lopes 2;"Date:
      
      January 31, 2026";"Location:
      

      Sydney, New South Wales, Australia";Torrez Finney;0;27;0;0;Middleweight;U-DEC;3;5:00;lose
UFC 325: Volkanovski vs. Lopes 2;"Date:
      
      January 31, 2026";"Location:
      

      Sydney, New South Wales, Australia";Jonathan Micallef;0;19;1;1;Welterweight;"SUB

      

        Rear Naked Choke";2;3:31;win
UFC 325: Volkanovski vs. Lopes 2;"Date:
      
      January 31, 2026";"Location:
      

      Sydney, New South Wales, Australia";Oban Elliott;0;40;0;0;Welterweight;"SUB

      

        Rear Naked Choke";2;3:31;lose
UFC 325: Volkanovski vs. Lopes 2;"Date:
      
      January 31, 2026";"Location:
      

      Sydney, New South Wales, Australia";Kaan Ofli;0;48;0;0;Featherweight;M-DEC;3;5:00;win
UFC 325: Volkanovski vs. Lopes 2;"Date:
      
      January 31, 2026";"Location:
      

      Sydney, New South Wales, Australia";Yizha;1;68;3;0;Featherweight;M-DEC;3;5:00;lose
UFC 325: Volkanovski vs. Lopes 2;"Date:
      
      January 31, 2026";"Location:
      

      Sydney, New South Wales, Australia";Dom Mar Fan;0;99;1;0;Lightweight;U-DEC;3;5:00;win
UFC 325: Volkanovski vs. Lopes 2;"Date:
      
      January 31, 2026";"Location:
      

      Sydney, New South Wales, Australia";Sangwook Kim;0;68;1;0;Lightweight;U-DEC;3;5:00;lose
UFC 325: Volkanovski vs. Lopes 2;"Date:
      
      January 31, 2026";"Location:
      

      Sydney, New South Wales, Australia";Keiichiro Nakamura;1;45;0;0;Featherweight;"KO/TKO

      

        Knee";3;3:48;win
UFC 325: Volkanovski vs. Lopes 2;"Date:
      
      January 31, 2026";"Location:
      

      Sydney, New South Wales, Australia";Sebastian Szalay;0;79;1;0;Featherweight;"KO/TKO

      

        Knee";3;3:48;lose
UFC 325: Volkanovski vs. Lopes 2;"Date:
      
      January 31, 2026";"Location:
      

      Sydney, New South Wales, Australia";Lawrence Lui;0;52;7;0;Bantamweight;S-DEC;3;5:00;win
UFC 325: Volkanovski vs. Lopes 2;"Date:
      
      January 31, 2026";"Location:
      

      Sydney, New South Wales, Australia";Sulangrangbo;0;56;0;0;Bantamweight;S-DEC;3;5:00;lose
UFC 324: Gaethje vs. Pimblett;"Date:
      
      January 24, 2026";"Location:
      

      Las Vegas, Nevada, USA";Justin Gaethje;2;144;3;0;Lightweight;U-DEC;5;5:00;win
UFC 324: Gaethje vs. Pimblett;"Date:
      
      January 24, 2026";"Location:
      

      Las Vegas, Nevada, USA";Paddy Pimblett;0;156;0;0;Lightweight;U-DEC;5;5:00;lose
UFC 324: Gaethje vs. Pimblett;"Date:
      
      January 24, 2026";"Location:
      

      Las Vegas, Nevada, USA";Sean O'Malley;0;48;0;0;Bantamweight;U-DEC;3;5:00;win
UFC 324: Gaethje vs. Pimblett;"Date:
      
      January 24, 2026";"Location:
      

      Las Vegas, Nevada, USA";Song Yadong;0;36;3;0;Bantamweight;U-DEC;3;5:00;lose
UFC 324: Gaethje vs. Pimblett;"Date:
      
      January 24, 2026";"Location:
      

      Las Vegas, Nevada, USA";Waldo Cortes Acosta;1;44;1;0;Heavyweight;"KO/TKO

      

        Punches";2;3:14;win
UFC 324: Gaethje vs. Pimblett;"Date:
      
      January 24, 2026";"Location:
      

      Las Vegas, Nevada, USA";Derrick Lewis;0;8;0;0;Heavyweight;"KO/TKO

      

        Punches";2;3:14;lose
UFC 324: Gaethje vs. Pimblett;"Date:
      
      January 24, 2026";"Location:
      

      Las Vegas, Nevada, USA";Natalia Silva;0;51;1;0;Women's Flyweight;U-DEC;3;5:00;win
UFC 324: Gaethje vs. Pimblett;"Date:
      
      January 24, 2026";"Location:
      

      Las Vegas, Nevada, USA";Rose Namajunas;0;26;1;0;Women's Flyweight;U-DEC;3;5:00;lose
UFC 324: Gaethje vs. Pimblett;"Date:
      
      January 24, 2026";"Location:
      

      Las Vegas, Nevada, USA";Jean Silva;0;74;4;0;Featherweight;U-DEC;3;5:00;win
UFC 324: Gaethje vs. Pimblett;"Date:
      
      January 24, 2026";"Location:
      

      Las Vegas, Nevada, USA";Arnold Allen;0;56;0;0;Featherweight;U-DEC;3;5:00;lose
UFC 324: Gaethje vs. Pimblett;"Date:
      
      January 24, 2026";"Location:
      

      Las Vegas, Nevada, USA";Umar Nurmagomedov;0;34;2;0;Bantamweight;U-DEC;3;5:00;win
UFC 324: Gaethje vs. Pimblett;"Date:
      
      January 24, 2026";"Location:
      

      Las Vegas, Nevada, USA";Deiveson Figueiredo;0;8;0;0;Bantamweight;U-DEC;3;5:00;lose
UFC 324: Gaethje vs. Pimblett;"Date:
      
      January 24, 2026";"Location:
      

      Las Vegas, Nevada, USA";Ateba Gautier;2;34;0;0;Middleweight;U-DEC;3;5:00;win
UFC 324: Gaethje vs. Pimblett;"Date:
      
      January 24, 2026";"Location:
      

      Las Vegas, Nevada, USA";Andrey Pulyaev;0;59;0;0;Middleweight;U-DEC;3;5:00;lose
UFC 324: Gaethje vs. Pimblett;"Date:
      
      January 24, 2026";"Location:
      

      Las Vegas, Nevada, USA";Nikita Krylov;1;72;1;0;Light Heavyweight;"KO/TKO

      

        Punch";3;4:57;win
UFC 324: Gaethje vs. Pimblett;"Date:
      
      January 24, 2026";"Location:
      

      Las Vegas, Nevada, USA";Modestas Bukauskas;0;40;0;0;Light Heavyweight;"KO/TKO

      

        Punch";3;4:57;lose
UFC 324: Gaethje vs. Pimblett;"Date:
      
      January 24, 2026";"Location:
      

      Las Vegas, Nevada, USA";Alex Perez;2;39;0;0;Flyweight;"KO/TKO

      

        Punch";1;3:16;win
UFC 324: Gaethje vs. Pimblett;"Date:
      
      January 24, 2026";"Location:
      

      Las Vegas, Nevada, USA";Charles Johnson;0;8;0;0;Flyweight;"KO/TKO

      

        Punch";1;3:16;lose
UFC 324: Gaethje vs. Pimblett;"Date:
      
      January 24, 2026";"Location:
      

      Las Vegas, Nevada, USA";Josh Hokit;0;37;1;0;Heavyweight;"KO/TKO

      

        Punches";1;4:59;win
UFC 324: Gaethje vs. Pimblett;"Date:
      
      January 24, 2026";"Location:
      

      Las Vegas, Nevada, USA";Denzel Freeman;0;0;0;0;Heavyweight;"KO/TKO

      

        Punches";1;4:59;lose
UFC 324: Gaethje vs. Pimblett;"Date:
      
      January 24, 2026";"Location:
      

      Las Vegas, Nevada, USA";Ty Miller;1;59;0;0;Welterweight;"KO/TKO

      

        Punches";1;4:59;win
UFC 324: Gaethje vs. Pimblett;"Date:
      
      January 24, 2026";"Location:
      

      Las Vegas, Nevada, USA";Adam Fugitt;0;36;0;0;Welterweight;"KO/TKO

      

        Punches";1;4:59;lose
UFC Fight Night: Royval vs. Kape;"Date:
      
      December 13, 2025";"Location:
      

      Las Vegas, Nevada, USA";Manel Kape;1;17;0;0;Flyweight;"KO/TKO

      

        Punches";1;3:18;win
UFC Fight Night: Royval vs. Kape;"Date:
      
      December 13, 2025";"Location:
      

      Las Vegas, Nevada, USA";Brandon Royval;0;17;0;0;Flyweight;"KO/TKO

      

        Punches";1;3:18;lose
UFC Fight Night: Royval vs. Kape;"Date:
      
      December 13, 2025";"Location:
      

      Las Vegas, Nevada, USA";Kevin Vallejos;1;20;0;0;Featherweight;"KO/TKO

      

        Spinning Back Fist";2;1:29;win
UFC Fight Night: Royval vs. Kape;"Date:
      
      December 13, 2025";"Location:
      

      Las Vegas, Nevada, USA";Giga Chikadze;0;12;0;0;Featherweight;"KO/TKO

      

        Spinning Back Fist";2;1:29;lose
UFC Fight Night: Royval vs. Kape;"Date:
      
      December 13, 2025";"Location:
      

      Las Vegas, Nevada, USA";Cezary Oleksiejczuk;0;14;6;0;Middleweight;U-DEC;3;5:00;win
UFC Fight Night: Royval vs. Kape;"Date:
      
      December 13, 2025";"Location:
      

      Las Vegas, Nevada, USA";Cesar Almeida;0;12;0;0;Middleweight;U-DEC;3;5:00;lose
UFC Fight Night: Royval vs. Kape;"Date:
      
      December 13, 2025";"Location:
      

      Las Vegas, Nevada, USA";Melquizael Costa;1;4;0;0;Featherweight;"KO/TKO

      

        Kick";1;1:14;win
UFC Fight Night: Royval vs. Kape;"Date:
      
      December 13, 2025";"Location:
      

      Las Vegas, Nevada, USA";Morgan Charriere;0;2;0;0;Featherweight;"KO/TKO

      

        Kick";1;1:14;lose
UFC Fight Night: Royval vs. Kape;"Date:
      
      December 13, 2025";"Location:
      

      Las Vegas, Nevada, USA";Kennedy Nzechukwu;0;24;0;0;Heavyweight;U-DEC;3;5:00;draw
UFC Fight Night: Royval vs. Kape;"Date:
      
      December 13, 2025";"Location:
      

      Las Vegas, Nevada, USA";Marcus Buchecha;0;27;3;0;Heavyweight;U-DEC;3;5:00;draw
UFC Fight Night: Royval vs. Kape;"Date:
      
      December 13, 2025";"Location:
      

      Las Vegas, Nevada, USA";King Green;0;65;1;0;Catch Weight;S-DEC;3;5:00;win
UFC Fight Night: Royval vs. Kape;"Date:
      
      December 13, 2025";"Location:
      

      Las Vegas, Nevada, USA";Lance Gibson Jr.;0;30;2;0;Catch Weight;S-DEC;3;5:00;lose
UFC Fight Night: Royval vs. Kape;"Date:
      
      December 13, 2025";"Location:
      

      Las Vegas, Nevada, USA";Yaroslav Amosov;0;9;1;1;Welterweight;"SUB

      

        Anaconda Choke";1;3:14;win
UFC Fight Night: Royval vs. Kape;"Date:
      
      December 13, 2025";"Location:
      

      Las Vegas, Nevada, USA";Neil Magny;0;5;0;0;Welterweight;"SUB

      

        Anaconda Choke";1;3:14;lose
UFC Fight Night: Royval vs. Kape;"Date:
      
      December 13, 2025";"Location:
      

      Las Vegas, Nevada, USA";Joanderson Brito;0;33;8;2;Featherweight;U-DEC;3;5:00;win
UFC Fight Night: Royval vs. Kape;"Date:
      
      December 13, 2025";"Location:
      

      Las Vegas, Nevada, USA";Isaac Thomson;0;21;4;0;Featherweight;U-DEC;3;5:00;lose
UFC Fight Night: Royval vs. Kape;"Date:
      
      December 13, 2025";"Location:
      

      Las Vegas, Nevada, USA";Steven Asplund;0;170;0;0;Heavyweight;"KO/TKO

      

        Punches";2;3:49;win
UFC Fight Night: Royval vs. Kape;"Date:
      
      December 13, 2025";"Location:
      

      Las Vegas, Nevada, USA";Sean Sharaf;0;66;0;0;Heavyweight;"KO/TKO

      

        Punches";2;3:49;lose
UFC Fight Night: Royval vs. Kape;"Date:
      
      December 13, 2025";"Location:
      

      Las Vegas, Nevada, USA";Luana Santos;0;12;3;1;Women's Bantamweight;U-DEC;3;5:00;win
UFC Fight Night: Royval vs. Kape;"Date:
      
      December 13, 2025";"Location:
      

      Las Vegas, Nevada, USA";Melissa Croden;0;22;0;0;Women's Bantamweight;U-DEC;3;5:00;lose
UFC Fight Night: Royval vs. Kape;"Date:
      
      December 13, 2025";"Location:
      

      Las Vegas, Nevada, USA";Guilherme Pat;0;64;0;0;Heavyweight;U-DEC;3;5:00;win
UFC Fight Night: Royval vs. Kape;"Date:
      
      December 13, 2025";"Location:
      

      Las Vegas, Nevada, USA";Allen Frye Jr.;0;33;0;0;Heavyweight;U-DEC;3;5:00;lose
UFC Fight Night: Royval vs. Kape;"Date:
      
      December 13, 2025";"Location:
      

      Las Vegas, Nevada, USA";Jamey-Lyn Horth;0;16;0;0;Women's Flyweight;"KO/TKO

      

        Punches";1;2:05;win
UFC Fight Night: Royval vs. Kape;"Date:
      
      December 13, 2025";"Location:
      

      Las Vegas, Nevada, USA";Tereza Bleda;0;2;0;0;Women's Flyweight;"KO/TKO

      

        Punches";1;2:05;lose
UFC 323: Dvalishvili vs. Yan 2;"Date:
      
      December 06, 2025";"Location:
      

      Las Vegas, Nevada, USA";Petr Yan;0;139;5;0;Bantamweight;U-DEC;5;5:00;win
UFC 323: Dvalishvili vs. Yan 2;"Date:
      
      December 06, 2025";"Location:
      

      Las Vegas, Nevada, USA";Merab Dvalishvili;0;134;2;2;Bantamweight;U-DEC;5;5:00;lose
UFC 323: Dvalishvili vs. Yan 2;"Date:
      
      December 06, 2025";"Location:
      

      Las Vegas, Nevada, USA";Joshua Van;0;2;0;0;Flyweight;KO/TKO;1;0:26;win
UFC 323: Dvalishvili vs. Yan 2;"Date:
      
      December 06, 2025";"Location:
      

      Las Vegas, Nevada, USA";Alexandre Pantoja;0;6;0;0;Flyweight;KO/TKO;1;0:26;lose
UFC 323: Dvalishvili vs. Yan 2;"Date:
      
      December 06, 2025";"Location:
      

      Las Vegas, Nevada, USA";Tatsuro Taira;0;28;1;0;Flyweight;"KO/TKO

      

        Punches";2;2:24;win
UFC 323: Dvalishvili vs. Yan 2;"Date:
      
      December 06, 2025";"Location:
      

      Las Vegas, Nevada, USA";Brandon Moreno;0;9;0;1;Flyweight;"KO/TKO

      

        Punches";2;2:24;lose
UFC 323: Dvalishvili vs. Yan 2;"Date:
      
      December 06, 2025";"Location:
      

      Las Vegas, Nevada, USA";Payton Talbott;1;134;3;0;Bantamweight;U-DEC;3;5:00;win
UFC 323: Dvalishvili vs. Yan 2;"Date:
      
      December 06, 2025";"Location:
      

      Las Vegas, Nevada, USA";Henry Cejudo;0;60;1;0;Bantamweight;U-DEC;3;5:00;lose
UFC 323: Dvalishvili vs. Yan 2;"Date:
      
      December 06, 2025";"Location:
      

      Las Vegas, Nevada, USA";Jan Blachowicz;1;84;0;1;Light Heavyweight;M-DEC;3;5:00;draw
UFC 323: Dvalishvili vs. Yan 2;"Date:
      
      December 06, 2025";"Location:
      

      Las Vegas, Nevada, USA";Bogdan Guskov;1;80;0;0;Light Heavyweight;M-DEC;3;5:00;draw
UFC 323: Dvalishvili vs. Yan 2;"Date:
      
      December 06, 2025";"Location:
      

      Las Vegas, Nevada, USA";Manuel Torres;1;9;0;0;Lightweight;"KO/TKO

      

        Punch";1;2:25;win
UFC 323: Dvalishvili vs. Yan 2;"Date:
      
      December 06, 2025";"Location:
      

      Las Vegas, Nevada, USA";Grant Dawson;0;8;0;0;Lightweight;"KO/TKO

      

        Punch";1;2:25;lose
UFC 323: Dvalishvili vs. Yan 2;"Date:
      
      December 06, 2025";"Location:
      

      Las Vegas, Nevada, USA";Chris Duncan;1;38;1;1;Lightweight;"SUB

      

        Anaconda Choke";1;2:30;win
UFC 323: Dvalishvili vs. Yan 2;"Date:
      
      December 06, 2025";"Location:
      

      Las Vegas, Nevada, USA";Terrance McKinney;0;31;0;0;Lightweight;"SUB

      

        Anaconda Choke";1;2:30;lose
UFC 323: Dvalishvili vs. Yan 2;"Date:
      
      December 06, 2025";"Location:
      

      Las Vegas, Nevada, USA";Maycee Barber;0;55;3;0;Women's Flyweight;U-DEC;3;5:00;win
UFC 323: Dvalishvili vs. Yan 2;"Date:
      
      December 06, 2025";"Location:
      

      Las Vegas, Nevada, USA";Karine Silva;0;21;2;0;Women's Flyweight;U-DEC;3;5:00;lose
UFC 323: Dvalishvili vs. Yan 2;"Date:
      
      December 06, 2025";"Location:
      

      Las Vegas, Nevada, USA";Fares Ziam;1;31;2;2;Lightweight;"KO/TKO

      

        Punches";2;4:59;win
UFC 323: Dvalishvili vs. Yan 2;"Date:
      
      December 06, 2025";"Location:
      

      Las Vegas, Nevada, USA";Nazim Sadykhov;0;4;0;0;Lightweight;"KO/TKO

      

        Punches";2;4:59;lose
UFC 323: Dvalishvili vs. Yan 2;"Date:
      
      December 06, 2025";"Location:
      

      Las Vegas, Nevada, USA";Brunno Ferreira;0;77;1;0;Middleweight;U-DEC;3;5:00;win
UFC 323: Dvalishvili vs. Yan 2;"Date:
      
      December 06, 2025";"Location:
      

      Las Vegas, Nevada, USA";Marvin Vettori;0;88;1;0;Middleweight;U-DEC;3;5:00;lose
UFC 323: Dvalishvili vs. Yan 2;"Date:
      
      December 06, 2025";"Location:
      

      Las Vegas, Nevada, USA";Jalin Turner;2;39;0;0;Lightweight;"KO/TKO

      

        Punches";1;2:24;win
UFC 323: Dvalishvili vs. Yan 2;"Date:
      
      December 06, 2025";"Location:
      

      Las Vegas, Nevada, USA";Edson Barboza;0;10;0;0;Lightweight;"KO/TKO

      

        Punches";1;2:24;lose
UFC 323: Dvalishvili vs. Yan 2;"Date:
      
      December 06, 2025";"Location:
      

      Las Vegas, Nevada, USA";Iwo Baraniewski;2;22;0;0;Light Heavyweight;"KO/TKO

      

        Punches";1;1:29;win
UFC 323: Dvalishvili vs. Yan 2;"Date:
      
      December 06, 2025";"Location:
      

      Las Vegas, Nevada, USA";Ibo Aslan;1;30;0;0;Light Heavyweight;"KO/TKO

      

        Punches";1;1:29;lose
UFC 323: Dvalishvili vs. Yan 2;"Date:
      
      December 06, 2025";"Location:
      

      Las Vegas, Nevada, USA";Mansur Abdul-Malik;0;2;1;1;Middleweight;"SUB

      

        Guillotine Choke";1;1:09;win
UFC 323: Dvalishvili vs. Yan 2;"Date:
      
      December 06, 2025";"Location:
      

      Las Vegas, Nevada, USA";Antonio Trocoli;0;3;0;0;Middleweight;"SUB

      

        Guillotine Choke";1;1:09;lose
UFC 323: Dvalishvili vs. Yan 2;"Date:
      
      December 06, 2025";"Location:
      

      Las Vegas, Nevada, USA";Mairon Santos;1;27;0;0;Featherweight;"KO/TKO

      

        Punches";3;0:21;win
UFC 323: Dvalishvili vs. Yan 2;"Date:
      
      December 06, 2025";"Location:
      

      Las Vegas, Nevada, USA";Muhammad Naimov;0;18;0;0;Featherweight;"KO/TKO

      

        Punches";3;0:21;lose
UFC Fight Night: Tsarukyan vs. Hooker;"Date:
      
      November 22, 2025";"Location:
      

      Doha, Qatar";Arman Tsarukyan;0;42;2;1;Lightweight;"SUB

      

        Arm Triangle";2;3:34;win
UFC Fight Night: Tsarukyan vs. Hooker;"Date:
      
      November 22, 2025";"Location:
      

      Doha, Qatar";Dan Hooker;0;10;0;2;Lightweight;"SUB

      

        Arm Triangle";2;3:34;lose
UFC Fight Night: Tsarukyan vs. Hooker;"Date:
      
      November 22, 2025";"Location:
      

      Doha, Qatar";Ian Machado Garry;0;72;0;0;Welterweight;U-DEC;3;5:00;win
UFC Fight Night: Tsarukyan vs. Hooker;"Date:
      
      November 22, 2025";"Location:
      

      Doha, Qatar";Belal Muhammad;0;56;0;0;Welterweight;U-DEC;3;5:00;lose
UFC Fight Night: Tsarukyan vs. Hooker;"Date:
      
      November 22, 2025";"Location:
      

      Doha, Qatar";Volkan Oezdemir;1;13;0;0;Light Heavyweight;"KO/TKO

      

        Punches";1;1:27;win
UFC Fight Night: Tsarukyan vs. Hooker;"Date:
      
      November 22, 2025";"Location:
      

      Doha, Qatar";Alonzo Menifield;0;2;0;0;Light Heavyweight;"KO/TKO

      

        Punches";1;1:27;lose
UFC Fight Night: Tsarukyan vs. Hooker;"Date:
      
      November 22, 2025";"Location:
      

      Doha, Qatar";Myktybek Orolbai;1;15;0;0;Welterweight;"KO/TKO

      

        Punch";1;2:46;win
UFC Fight Night: Tsarukyan vs. Hooker;"Date:
      
      November 22, 2025";"Location:
      

      Doha, Qatar";Jack Hermansson;0;19;0;0;Welterweight;"KO/TKO

      

        Punch";1;2:46;lose
